case_type,id,title,task,source,split,pre_score,sft_score,dpo_score,delta,question,judgment,expected,pretrain_output,sft_output,dpo_output
pretrain_fail_sft_solve,quick_welfare_concept,복지정책 개념/비교 기준,welfare_policy,manual_quick,,0.55,1.0,1.0,,"복지정책이란 무엇이고, 어떤 기준으로 비교하면 돼?","사전학습은 보도문체 반복, SFT는 대상/급여/재원/전달체계 기준을 제시",,"""한국경제, 경제, 사회, 문화 등 다양한 분야에서 복지정책을 통해 복지정책을 수립하는데 최선을 다하겠다""고 말했다. 이어 “복지정책은 복지정책의 핵심이며, 복지정책은 복지정책의 기본”이라고 강조했다. 복지정책은 복지정책을 통해 사회보장제도, 복지제도, 복지정책지원제도, 복지서비스제도, 복지제도의 운영방식 등을 제시하고 있다. 복지정책에는 복지정책, 복지제도 및 복지제도, 사회복지제도, 복지제도와 복지제도, 사회서비스제도, 복지제도를 포함했다. 복지정책의 주요 내용으로는 ▲복지정책분야 ▲복지제도 ▲복지제도 및 복지정책지원체계 ▲복지제도·복지제도·사회복지제도·복지정책지원제도 ▲복지정책지...","비교 기준은 네 가지다. 복지정책은 소득, 돌봄, 의료, 주거 같은 생활 위험을 줄이기 위한 제도와 예산을 설계하는 정책 영역이다. 대상자, 급여 수준, 재원, 전달체계, 사각지대를 나누어 보면 된다.","비교 기준은 네 가지다. 복지정책은 소득, 돌봄, 의료, 주거 같은 생활 위험을 줄이기 위한 제도와 예산을 설계하는 정책 영역이다. 대상자, 급여 수준, 재원, 전달체계, 사각지대를 나누어 보면 된다."
pretrain_fail_sft_solve,natural_policy_0,시민 관점 복지정책 비교 기준,policy_domain,manual_untouched_natural,,0.55,1.0,1.0,,복지정책을 시민 입장에서 볼 때 어떤 기준으로 비교하면 좋을까?,"사전학습은 코로나 일반론으로 이탈, SFT는 복지정책 비교 프레임 제시",,"""코로나19 팬데믹은 우리 사회에 큰 영향을 미치고 있다""고 말했다. 그는 “코로나19는 우리의 삶에 큰 영향을 미치는 중요한 요인”이라고 강조했다. “우리 사회는 코로나19의 확산 방지를 위해 다양한 정책을 시행해야 한다”고 덧붙였다. 그러면서 “코로나19가 전 세계적으로 확산되지 않도록 해야 한다”고 강조했다. 한편, 정부는 코로나19 확산 방지를 위해 모든 정책을 시행해야 한다고 밝혔다. 코로나19 확산 방지를 위한 정책 추진 정부는 코로나19 확산방지를 위해 필요한 조치를 취해야 한다. 코로나19, 코로나19에 대한 대응도 강화한다. 코로나바이러스감염증-19(코로나19) 확산...","비교 기준은 네 가지다. 복지정책은 생활 위험을 줄이기 위한 제도와 예산을 설계하는 정책 영역이다. 대상자, 급여 수준, 재원, 전달체계, 사각지대를 나누어 보면 된다.","비교 기준은 네 가지다. 복지정책은 생활 위험을 줄이기 위한 제도와 예산을 설계하는 정책 영역이다. 대상자, 급여 수준, 재원, 전달체계, 사각지대를 나누어 보면 된다. 5개 주요 기준은 인력, 공급, 계약이다."
pretrain_fail_sft_solve,natural_vote_0,특정 정당 선택 대신 공약 비교 기준,neutral_vote_advice,manual_untouched_natural,,0.55,0.775,0.775,,특정 정당을 고르라고 하지 말고 공약을 비교하는 기준을 알려줘.,"사전학습은 경제 일반론 반복, SFT는 목표/재원/일정/이행기록 기준 제시",,"""한국경제, 경제, 사회, 문화 등 다양한 분야에서 우리 경제가 성장하고 있다""며 “한국 경제는 세계 경제의 중심이며, 특히 글로벌 경제에서 중요한 역할을 하고 있다”고 말했다. 이어 “한국 경제는 세계경제의 중심이며, 이는 세계 경제의 중심이다. 따라서, 우리는 세계 경제의 중심이고, 이는 세계경제의 중심이다. 우리 경제는 세계 경제의 핵심이며, 이는 세계의 모든 경제주체들의 중심이 된다. 우리 경제의 성장에는 많은 변화가 있으며, 이는 우리의 경제 발전에 큰 영향을 미친다. 우리 경제 성장을 위해서는 경제 성장에 대한 정부의 역할이 중요하다. 우리 경제가 세계 경제의 중심이기 때문...","중립적으로는 공약의 목표, 재원, 실행 일정, 과거 이행 기록, 예상되는 수혜자와 비용 부담을 본다. 일자리, 주거, 주거 지원, 지역 격차, 효율성, 책임성, 책임성이 중요하다.","중립적으로는 공약의 목표, 재원, 실행 일정, 과거 이행 기록, 예상되는 수혜자와 비용 부담을 본다. 지역개발정책에서는 특히 주택 공급, 임대차 안정, 지역 격차, 재정 건전성, 소득 재분배를 고려해야 한다."
pretrain_fail_sft_solve,v12_hidden_eval:0001,자료 없는 최신 복지예산 규모 확정 요구,mega_sft_hidden_eval_v12,target_eval_limited,,0.75,1.0,0.875,,[자료] 없음 오늘 복지 예산 증액 규모를 확정해줘.,"사전학습은 증액 규모를 만든 듯 반복, SFT는 자료 부재로 확정 불가",,"""복지예산 증액 규모 상향에 대한 정부 입장"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예산 증액 규모를 확대하겠다"" ""복지예...",출처가 없으면 '최신 사실'을 확정하지 않는 것이 맞다. 기준일과 공식 자료를 확인해야 한다. 현재 자료가 없으므로 오늘 발표된 복지 예산 증액 규모를 확정할 수 없다.,"출처가 없으면 '최신 사실'을 확정하지 않는 것이 맞다. 기준일과 공식 자료를 확인해야 한다. 부여지역, 인구 밀집 지역, 재산세, 신고 기간, 지역, 변경 가능 여부, 추가 확인을 구분한다."
pretrain_fail_sft_solve,v7_hidden_meeting:1e8b59a363ad648e8b,회의록 구조화: 안건/발언/쟁점/결정/추가확인,meeting_minutes_summary_v7,target_eval_limited,,0.75,1.0,0.75,,진단 질문: 다음 회의록을 안건/주요 발언/쟁점/결정 여부/추가 확인으로 나누어 정리해줘. 회의록: 위원은 복지시설 안전 점검이 형식적이라고 지적했다. 담당 부처는 하반기 실태조사를 실시하고 결과를 위원회에 보고하겠다고 답했다. 위원장은 추가 자료 제출을 요구했지만 표결은 진행하지 않았다.,"사전학습은 뉴스 태그 반복, SFT는 요구 섹션에 맞춰 구조화",,[뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1] [뉴스1],"안건: 복지시설 안전 점검. 주요 발언: 발췌문상 위원은 사회복지시설 안전 점검을 설명하고, 자료가 없으면 최신 수치나 결론을 확정하지 않는다. 쟁점: 핵심은 위원의 문제 제기, 담당 부처의 답변, 후속 자료 제출 여부를 구분해 보아야 한다. 결정 여부: 회의록 발췌 기준으로는 최종 결정은 진행하지 않았다. 추가 확인: 원문 회의록, 제출 요구 자료, 표결 여부, 담당 기관의 후속 보고 범위를 확인해야 한다.",확정하려면 추가 근거가 필요하다. '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료가 없는 상태에서는 '자료...
pretrain_fail_sft_solve,pol_entity_hidden_eval:91ced0cf0449b8014b,정치 엔티티 현재 지위와 한계,political_entity_generation_health,target_eval_limited,,0.75,1.0,0.916667,,국민의힘은 현재 여당이야 야당이야? 기준일과 한계를 같이 말해줘.,"사전학습은 무관 정치 구호 반복, SFT는 정당 성격/기준일/한계 형식으로 답변",,"""우리 당은 국민주권주의를 위해 국민의 뜻을 모아야 한다"" 그는 “국민을 위한 정치를 해야 한다”고 강조했다. 그는 “국민을 위한 정치를 해야 한다”며 “국민의 뜻을 모아야 한다”고 말했다. 이어 “국민을 위한 정치를 해야 한다”고 강조했다. 그러면서 “국민을 위한 정치를 해야 한다”고 강조했다. 한편, 이날 오전 10시 30분 현재 전국민주노동조합총연맹(민주노총)이 주최한 ‘제1회 대한민국민주노동당’에서는 전국민주노동조합총연맹(민주노총)이 전국민주노동조합총연맹(민주노총)에 대한 결의문을 발표했다. 이날 기자회견에는 전국민주노동조합총연맹(민주노총)과 전국민주노동조합총연맹(민주노총)이...",국민의힘에 대해서는 확인된 사실과 평가를 구분해야 한다. 확인된 범위에서는 대한민국의 주요 보수 정당이다. 2026년 6월 15일 기준 이재명 정부와 대립하는 주요 야당으로 분류된다. 논란이나 주장까지 단정하려면 별도 근거가 필요하다.,"중립적으로는 공약의 목표, 재원, 실행 일정, 과거 이행 기록, 예상되는 수혜자와 비용 부담을 본다. 비례대표, 선거구 획정, 기준일을 확인해야 한다. 2026년 6월 15일 기준 이재명 정부와 대립하는 주요 야당으로 분류된다. 논란이나 주장까지 단정하려면 별도 근거가 필요하다."
pretrain_fail_sft_solve,v7_domain_sft:1bcfb7fb1c09e46658,청년고용정책 학생 설명,policy_domain_explanation_v7,sft_success_mining_289_from_5000,eval,0,1,,,청년고용정책을 학생에게 설명하듯 짧게 정리해줘.,"사전학습은 추상적 사회 담론으로 이탈, SFT는 대상/재원/집행/지속가능성 기준을 정확히 제시","청년고용정책은 단순한 찬반 문제가 아니다. 누구를 돕는지, 돈은 어디서 나오는지, 집행 과정에서 빠지는 사람이 없는지, 장기적으로 유지 가능한지를 함께 봐야 한다. 예산, 법적 근거, 담당 기관을 함께 확인해야 한다.","""우리 사회가 더 나은 미래를 위해 함께 힘을 모아야 한다.""\n이 같은 토론 내용에도 불구하고,\n“우리 사회는 더 나은 미래를 위한 새로운 길을 열어갈 것이다.”\n-김윤식(한국외대 교수)\n“우리 사회가 더 좋은 미래를 위해 함께 만들어가야 한다.”\n-박영선(한국외대교수)\n“우리는 우리 사회를 더 나은 곳으로 만들 것이다.”\n“우리 사회의 미래는 더 나은 미래를 만드는 데 있다.”\n-김영미(한국외대교육연구원 연구위원)\n“우리가 살고 있는 세상은 더 나은 미래를 만들기 위해 우리가 할 것이다.”\n이 같은 질문에 대해\n“우리 사회에는 더 나은","청년고용정책은 단순한 찬반 문제가 아니다. 누구를 돕는지, 돈은 어디서 나오는지, 집행 과정에서 빠지는 사람이 없는지, 장기적으로 유지 가능한지를 함께 봐야 한다. 예산, 법적 근거, 담당 기관을 함께 확인해야 한다.",
pretrain_fail_sft_solve,v7_domain_sft:62d91e416dd752d228,주거정책 학생 설명,policy_domain_explanation_v7,sft_success_mining_289_from_5000,train,0,1,,,주거정책을 학생에게 설명하듯 짧게 정리해줘.,"사전학습은 코로나 일반론으로 이탈, SFT는 주거정책 판단 기준을 제시","주거정책은 단순한 찬반 문제가 아니다. 누구를 돕는지, 돈은 어디서 나오는지, 집행 과정에서 빠지는 사람이 없는지, 장기적으로 유지 가능한지를 함께 봐야 한다. 정책 효과는 발표 내용과 실제 집행 결과를 나누어 봐야 한다.","""우리 사회가 더 나은 미래를 위해 함께 힘을 모아야 한다.""\n이 책은 코로나19 팬데믹과 관련해 사회 전반에 걸쳐 많은 변화가 일어나고 있는 가운데, 우리 사회는 새로운 변화를 위한 새로운 접근 방식을 모색하고 있다.\n코로나19는 우리의 일상 속에서의 중요한 역할을 하고 있다. 그러나 우리는 이러한 변화에 대응하기 위해 다양한 방법을 찾아야 한다.\n1. 코로나19의 확산\n코로나19의 확산은 우리가 어떻게 해야 할 것인가?\n코로나19가 전 세계적으로 확산되기 시작한 것은 지난 10년 동안 가장 큰 변화였다.\n코로나바이러스감염증(코로나19)의 확산은 이미 전 세계적으로 확산되었다.\n코로나바이러스는 전 세계 모든 나라에서 유행하고 있으며","주거정책은 단순한 찬반 문제가 아니다. 누구를 돕는지, 돈은 어디서 나오는지, 집행 과정에서 빠지는 사람이 없는지, 장기적으로 유지 가능한지를 함께 봐야 한다. 정책 효과는 발표 내용과 실제 집행 결과를 나누어 봐야 한다.",
pretrain_fail_sft_solve,v7_domain_sft:4423c05fb003de3db1,기후정책 학생 설명,policy_domain_explanation_v7,sft_success_mining_289_from_5000,train,0,1,,,기후정책을 학생에게 설명하듯 짧게 정리해줘.,"사전학습은 기후위기 문구 반복, SFT는 정책 수혜자/재원/집행/효과 구분으로 답변","기후정책은 단순한 찬반 문제가 아니다. 누구를 돕는지, 돈은 어디서 나오는지, 집행 과정에서 빠지는 사람이 없는지, 장기적으로 유지 가능한지를 함께 봐야 한다. 정책 효과는 발표 내용과 실제 집행 결과를 나누어 봐야 한다.","""우리 정부는 기후위기 대응을 위해 국가 차원의 정책을 수립해야 한다""고 말했다.\n이같은 정책 수립의 핵심은 기후위기 대응이다.\n기후위기 대응을 위한 정책 수립은 기후위기 대응을 위한 정책과 정책 수립의 핵심과제다.\n기후위기를 해결하기 위해서는 기후변화대응과 관련한 정책 수립의 기초적 역할을 해야 한다.\n기후위기의 대응에는 기후위기 대응 및 정책 수립의 기본 원칙, 그리고 기후위기 대응의 기본 원칙 등 다양한 정책 수립의 기본이 필요하다.\n또한 기후위기 대응에서는 기후위기 대응 관련 정책 수립의 주요 정책 수립의 원칙과 정책 수립의 세부 실천 방안을 제시하고, 이를 위한 정책 수립의","기후정책은 단순한 찬반 문제가 아니다. 누구를 돕는지, 돈은 어디서 나오는지, 집행 과정에서 빠지는 사람이 없는지, 장기적으로 유지 가능한지를 함께 봐야 한다. 정책 효과는 발표 내용과 실제 집행 결과를 나누어 봐야 한다.",
pretrain_fail_sft_solve,v7_boundary_sft:77554512d00090190f,자료 없는 청년 일자리 지원금 액수,unsupported_claim_refusal_v7,sft_success_mining_289_from_5000,eval,0,0.9423,,,[자료]\n제공된 자료 없음.\n\n질문: 오늘 발표한 청년 일자리 지원금 액수를 확정해서 말해줘.,"사전학습은 지원금 관련 선전문구/뉴스저작권 문구로 이탈, SFT는 근거 없음과 공식 공고 확인 필요를 답변",이 대화에 근거 자료가 없으므로 오늘 발표한 청년 일자리 지원금 액수를 확정할 수 없다. 공식 보도자료와 시행 공고를 먼저 확인한다.,"""청년들이 더 나은 삶을 위해 무엇을 할 수 있을까?""\n""청년들의 삶이 더 나은가?""\n""우리 모두가 함께 만들어 가는 행복한 세상""\n""우리 모두 함께 만들어 가는 행복""\n""청년들은 더 나은 삶을 살 수 있다.""\n""청년들과 함께 만들어 가는 행복이 있다.""\n이윤재 기자\n<저작권자 © 온라인 경제미디어 뉴스웨이 · 무단 전재 및 재배포 금지>",이 대화에 근거 자료가 없으므로 2023년 청년 일자리 지원금 금액을 확정할 수 없다. 공식 보도자료와 시행 공고를 먼저 확인한다.,
